id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6983,Copenhagen 'N Livin',16774,Simon,,Nrrebro,55.68798,12.54571,Private room,373,2,168,2019-07-19,1.32,1,0
26057,Lovely house - most attractive area,109777,Kari,,Indre By,55.69163,12.57459,Entire home/apt,2397,3,50,2019-12-14,0.66,1,333
26473,City Centre Townhouse Sleeps 1-12 persons,112210,Oliver,,Indre By,55.6759,12.57698,Entire home/apt,3103,3,292,2020-02-21,2.56,2,81
29118,Best Location in Cool Istedgade,125230,Nana,,Vesterbro-Kongens Enghave,55.67069,12.5543,Entire home/apt,801,7,22,2019-08-02,0.19,1,26
29618,Artsy and familyfriendly home in lovely Copenhagen,127577,Simon And Anna,,sterbro,55.69375,12.56945,Entire home/apt,862,7,90,2017-06-03,0.77,1,0
31094,"Very central and cozy, new kitchen",129976,Ebbe,,Vesterbro-Kongens Enghave,55.66744,12.55516,Entire home/apt,747,2,17,2017-08-25,0.15,1,0
32379,1668 ft2 artist flat on Vesterbro,140105,Lise,,Vesterbro-Kongens Enghave,55.67297,12.55327,Entire home/apt,1086,3,73,2019-08-17,0.63,2,38
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71158,12.56879,Entire home/apt,591,6,7,2016-09-15,0.06,1,70
37159,Unique space on greatest location,160390,Jeanette,,Indre By,55.68572,12.56749,Entire home/apt,1786,5,11,2017-08-22,0.09,1,364
38524,Copenhagen studio in Frederiksberg,165326,Annemette,,Frederiksberg,55.67628,12.53801,Entire home/apt,747,30,16,2019-08-09,0.15,2,181
49122,Private room for 2 in Central CPH,217651,Sara,,Indre By,55.68946,12.57088,Private room,353,1,184,2019-12-08,1.62,1,0
53776,Cozy 2-room apartment in trendy Vesterbro,246676,Ida,,Vesterbro-Kongens Enghave,55.66861,12.5521,Entire home/apt,679,3,9,2019-07-18,0.11,1,0
55465, Cosy and Central  - Apartment,261977,Morten,,Nrrebro,55.68363,12.55572,Entire home/apt,577,5,74,2020-02-18,0.65,1,11
60048,"Modern, Cosy & Central - Vesterbro!",288615,Oliver,,Vesterbro-Kongens Enghave,55.66782,12.54843,Entire home/apt,917,3,67,2019-08-20,0.60,1,364
65902,10 min. from city centre on bike,322300,Sjelle,,Nrrebro,55.70491,12.55331,Private room,448,2,92,2020-01-01,0.86,1,89
71168,beautiful penthouse with rooftop ,141625,Pernille & Frederik,,Frederiksberg,55.67939,12.55055,Entire home/apt,1215,4,7,2015-05-10,0.09,1,0
75158,Cozy Apartment on Vesterbro,299149,Sarwat,,Vesterbro-Kongens Enghave,55.66863,12.55255,Entire home/apt,652,3,44,2017-07-29,0.41,1,0
78381,IN THE HEART OF CPH,420914,Cathrine,,Indre By,55.6839,12.56727,Entire home/apt,1236,4,102,2019-12-14,0.96,1,315
80592,Baby friendly Nørrebro,205005,Kave,,Nrrebro,55.69866,12.538,Entire home/apt,801,9,14,2017-11-04,0.34,1,0
96080,Penthouse apartment 126 m2 - great with kids,510632,Rasmus,,sterbro,55.70568,12.58685,Entire home/apt,951,3,35,2020-01-03,0.32,1,0
