Parameter Distribution {'n_estimators': [300, 350, 400, 450, 500], 'max_depth': [10, 11, 12, 13, 14, 15], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10], 'random_state': [101]}
Best: 0.707592 using {'max_depth': 12, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 450, 'random_state': 101}
0.706118 (0.002954) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 101}, std score of 0.002954, score rank of 128,
0.705830 (0.003053) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350, 'random_state': 101}, std score of 0.003053, score rank of 152,
0.705822 (0.003180) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 101}, std score of 0.003180, score rank of 153,
0.706095 (0.003232) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450, 'random_state': 101}, std score of 0.003232, score rank of 131,
0.706121 (0.003497) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 101}, std score of 0.003497, score rank of 127,
0.705493 (0.003613) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 101}, std score of 0.003613, score rank of 175,
0.705736 (0.003772) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350, 'random_state': 101}, std score of 0.003772, score rank of 160,
0.706442 (0.003693) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 101}, std score of 0.003693, score rank of 90,
0.706052 (0.003796) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450, 'random_state': 101}, std score of 0.003796, score rank of 135,
0.706421 (0.004134) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 101}, std score of 0.004134, score rank of 91,
0.706654 (0.003326) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300, 'random_state': 101}, std score of 0.003326, score rank of 59,
0.706340 (0.003413) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 350, 'random_state': 101}, std score of 0.003413, score rank of 103,
0.706331 (0.003148) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400, 'random_state': 101}, std score of 0.003148, score rank of 104,
0.706688 (0.003336) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 450, 'random_state': 101}, std score of 0.003336, score rank of 54,
0.706321 (0.003342) with: {'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500, 'random_state': 101}, std score of 0.003342, score rank of 106,
0.706288 (0.004481) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 101}, std score of 0.004481, score rank of 112,
0.706464 (0.004295) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 350, 'random_state': 101}, std score of 0.004295, score rank of 89,
0.706501 (0.003824) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 101}, std score of 0.003824, score rank of 80,
0.706306 (0.003691) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 450, 'random_state': 101}, std score of 0.003691, score rank of 109,
0.706393 (0.003429) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 101}, std score of 0.003429, score rank of 96,
0.706371 (0.003217) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 101}, std score of 0.003217, score rank of 99,
0.706303 (0.003341) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 350, 'random_state': 101}, std score of 0.003341, score rank of 111,
0.705844 (0.003058) with: {'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 101}, std score of 0.003058, score rank of 150,
