Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
Best: 0.708706 using {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}
0.659506 (0.002217) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.002217, score rank of 78,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.702826 (0.001596) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001596, score rank of 23,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.707622 (0.002308) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002308, score rank of 8,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.681851 (0.003481) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.003481, score rank of 52,
0.695723 (0.001429) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.001429, score rank of 33,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.679909 (0.002126) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002126, score rank of 57,
0.708196 (0.002299) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002299, score rank of 4,
0.708244 (0.002222) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002222, score rank of 3,
0.695501 (0.001593) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.001593, score rank of 34,
0.682562 (0.000490) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.000490, score rank of 44,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.000000, score rank of 80,
0.708706 (0.002500) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002500, score rank of 1,
0.708078 (0.001509) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001509, score rank of 5,
0.707586 (0.001819) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001819, score rank of 10,
0.675060 (0.008455) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.008455, score rank of 63,
0.698591 (0.002398) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002398, score rank of 27,
0.688972 (0.005433) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.005433, score rank of 41,
0.662842 (0.004303) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.004303, score rank of 76,
0.681851 (0.003481) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003481, score rank of 52,
0.702826 (0.001596) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001596, score rank of 23,
