Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
Best: 0.711004 using {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}
0.658412 (0.010620) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.010620, score rank of 81,
0.679996 (0.003059) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003059, score rank of 63,
0.709760 (0.003065) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003065, score rank of 17,
0.697962 (0.003298) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.003298, score rank of 41,
0.687715 (0.006027) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.006027, score rank of 50,
0.711004 (0.003096) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003096, score rank of 1,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.710231 (0.003125) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.003125, score rank of 10,
0.658412 (0.010620) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.010620, score rank of 81,
0.710134 (0.003189) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.003189, score rank of 12,
0.674360 (0.009149) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.009149, score rank of 71,
