Parameter Distribution {'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300], 'max_features': ['auto', 'sqrt', 'log2'], 'max_depth': [3, 4, 5, 6, 7, 8, 9, 10, None], 'bootstrap': [True, False], 'min_samples_split': [2, 5, 10], 'min_samples_leaf': [1, 2, 4]}
Best: 0.706171 using {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}
0.694223 (0.000953) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.000953, score rank of 57,
0.702782 (0.002369) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 9, 'bootstrap': False}, std score of 0.002369, score rank of 18,
0.689114 (0.002554) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.002554, score rank of 66,
0.702512 (0.002271) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 9, 'bootstrap': True}, std score of 0.002271, score rank of 23,
0.694451 (0.002664) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.002664, score rank of 56,
0.668818 (0.000113) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.000113, score rank of 94,
0.698905 (0.000905) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': False}, std score of 0.000905, score rank of 40,
0.703688 (0.001105) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': False}, std score of 0.001105, score rank of 14,
0.697707 (0.001136) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001136, score rank of 44,
0.704862 (0.001674) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.001674, score rank of 6,
0.700528 (0.001821) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': True}, std score of 0.001821, score rank of 35,
0.660731 (0.002036) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}, std score of 0.002036, score rank of 98,
0.693907 (0.001230) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.001230, score rank of 59,
0.688372 (0.001725) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.001725, score rank of 68,
0.697552 (0.001130) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001130, score rank of 46,
0.702713 (0.000685) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': False}, std score of 0.000685, score rank of 20,
0.702227 (0.001386) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': True}, std score of 0.001386, score rank of 26,
0.700894 (0.001223) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': True}, std score of 0.001223, score rank of 32,
0.706171 (0.002074) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}, std score of 0.002074, score rank of 1,
0.704602 (0.002788) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.002788, score rank of 9,
0.701703 (0.001573) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': True}, std score of 0.001573, score rank of 29,
0.673237 (0.000589) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': False}, std score of 0.000589, score rank of 83,
0.702449 (0.001108) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.001108, score rank of 24,
0.667808 (0.002293) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': False}, std score of 0.002293, score rank of 96,
0.672727 (0.001437) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.001437, score rank of 85,
0.673499 (0.000640) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}, std score of 0.000640, score rank of 81,
0.704260 (0.002891) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 9, 'bootstrap': False}, std score of 0.002891, score rank of 10,
0.697245 (0.001542) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001542, score rank of 47,
0.690845 (0.000682) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.000682, score rank of 65,
0.695436 (0.002349) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002349, score rank of 50,
0.665566 (0.006657) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.006657, score rank of 97,
0.681650 (0.000738) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': True}, std score of 0.000738, score rank of 73,
0.687972 (0.001112) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': False}, std score of 0.001112, score rank of 69,
0.672928 (0.000596) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}, std score of 0.000596, score rank of 84,
0.701431 (0.002377) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': True}, std score of 0.002377, score rank of 30,
0.705017 (0.001844) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}, std score of 0.001844, score rank of 5,
0.693360 (0.002690) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.002690, score rank of 60,
0.704849 (0.002729) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.002729, score rank of 7,
0.698719 (0.000780) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.000780, score rank of 41,
0.691858 (0.002262) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}, std score of 0.002262, score rank of 62,
0.694038 (0.003239) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.003239, score rank of 58,
0.697961 (0.001011) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001011, score rank of 43,
0.704000 (0.002942) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}, std score of 0.002942, score rank of 13,
0.702700 (0.002973) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.002973, score rank of 21,
0.702735 (0.001864) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': False}, std score of 0.001864, score rank of 19,
0.668170 (0.000983) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': True}, std score of 0.000983, score rank of 95,
0.678334 (0.000518) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.000518, score rank of 77,
0.679550 (0.001636) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.001636, score rank of 76,
0.674225 (0.000668) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': False}, std score of 0.000668, score rank of 80,
0.699587 (0.003460) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.003460, score rank of 37,
0.699208 (0.001811) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.001811, score rank of 38,
0.697685 (0.000469) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': True}, std score of 0.000469, score rank of 45,
0.670611 (0.001776) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}, std score of 0.001776, score rank of 87,
0.669256 (0.000050) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': True}, std score of 0.000050, score rank of 92,
0.699151 (0.001527) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.001527, score rank of 39,
0.699748 (0.002317) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.002317, score rank of 36,
0.695106 (0.002449) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}, std score of 0.002449, score rank of 53,
0.705033 (0.002106) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 9, 'bootstrap': False}, std score of 0.002106, score rank of 4,
0.672428 (0.001273) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}, std score of 0.001273, score rank of 86,
0.695155 (0.001780) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}, std score of 0.001780, score rank of 52,
0.704209 (0.001277) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.001277, score rank of 11,
0.681231 (0.005244) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.005244, score rank of 74,
0.674694 (0.002071) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002071, score rank of 79,
0.676830 (0.002298) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}, std score of 0.002298, score rank of 78,
0.702665 (0.000607) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': False}, std score of 0.000607, score rank of 22,
0.695849 (0.000757) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}, std score of 0.000757, score rank of 48,
0.694934 (0.001413) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}, std score of 0.001413, score rank of 54,
0.701706 (0.001009) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': True}, std score of 0.001009, score rank of 28,
0.705749 (0.002167) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}, std score of 0.002167, score rank of 2,
0.695845 (0.001257) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}, std score of 0.001257, score rank of 49,
0.669588 (0.000408) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}, std score of 0.000408, score rank of 90,
0.673499 (0.000640) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}, std score of 0.000640, score rank of 81,
0.700666 (0.001934) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.001934, score rank of 34,
0.691359 (0.002135) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}, std score of 0.002135, score rank of 64,
0.655587 (0.000731) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}, std score of 0.000731, score rank of 100,
0.704731 (0.002157) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 9, 'bootstrap': True}, std score of 0.002157, score rank of 8,
0.702423 (0.002097) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': False}, std score of 0.002097, score rank of 25,
0.669173 (0.000320) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.000320, score rank of 93,
0.698059 (0.000687) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': True}, std score of 0.000687, score rank of 42,
0.701055 (0.002548) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': True}, std score of 0.002548, score rank of 31,
0.700892 (0.001822) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.001822, score rank of 33,
0.679650 (0.000392) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.000392, score rank of 75,
0.691634 (0.002567) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}, std score of 0.002567, score rank of 63,
0.705435 (0.002831) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}, std score of 0.002831, score rank of 3,
0.682337 (0.003240) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.003240, score rank of 72,
0.694909 (0.000404) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}, std score of 0.000404, score rank of 55,
0.702851 (0.002079) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': False}, std score of 0.002079, score rank of 17,
0.669912 (0.001921) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001921, score rank of 88,
0.703267 (0.000688) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': True}, std score of 0.000688, score rank of 16,
0.669912 (0.001921) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001921, score rank of 88,
0.702161 (0.001345) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': False}, std score of 0.001345, score rank of 27,
0.695333 (0.001690) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}, std score of 0.001690, score rank of 51,
0.669544 (0.000473) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}, std score of 0.000473, score rank of 91,
0.682393 (0.002530) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.002530, score rank of 71,
0.703387 (0.002672) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 9, 'bootstrap': False}, std score of 0.002672, score rank of 15,
0.693297 (0.000492) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.000492, score rank of 61,
0.704082 (0.002895) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 9, 'bootstrap': True}, std score of 0.002895, score rank of 12,
0.688625 (0.002591) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.002591, score rank of 67,
0.683748 (0.003037) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.003037, score rank of 70,
0.660280 (0.002025) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002025, score rank of 99,
